fips,hospitals_per_100k,hospital_beds_per_100k,pcp_per_100k,neurologists_per_100k,stroke_centers_per_100k
09001,0.8300649525825397,166.63553923094483,95.2499533088464,6.017970906223412,0.6225487144369047
09003,0.890394645166604,199.7822985092568,95.27222703282662,6.789259169395355,0.667795983874953
09009,1.0396007009218948,210.807919909162,85.47827985357802,16.28707764777635,0.8085783229392516
09011,0.7448290244974266,157.53133868120574,62.193223545535126,3.35173061023842,0.7448290244974266
09005,1.072092886127654,84.69533800408468,53.6046443063827,3.752325101446789,1.608139329191481
09007,1.8060321473722232,112.57600385286858,77.6593823370056,4.8160857263259285,0.6020107157907411
09013,1.325328350098737,96.7489695572078,53.67579817899885,1.325328350098737,1.325328350098737
09015,1.7077085966050756,128.07814474538063,44.40042351173196,0.8538542983025378,1.7077085966050756
34001,1.0844301139013095,264.2394710872858,76.27158467772544,2.891813637070159,1.0844301139013095
34003,0.7260235895436008,197.27098104456127,115.12659777048526,11.823812743995786,0.5185882782454292
34005,1.2704516243782726,115.39935588102644,79.8267103984348,4.446580685323954,0.4234838747927576
34007,0.9434371680280466,266.8040311183316,96.04190370525514,7.547497344224372,1.132124601633656
34009,1.057339522294004,157.54358882180657,53.924315636994194,5.286697611470019,1.057339522294004
34011,0.647261759128009,181.2332925558425,40.13022906593656,1.941785277384027,0.647261759128009
34013,1.1479039847191022,243.4704351589216,77.25393817159558,6.887423908314614,0.6887423908314613
34015,0.0,92.6486833196736,54.423002789178895,1.2957857806947355,0.6478928903473679
34017,0.9726518101050186,82.11960282458085,50.43894386687454,3.0569056889014874,0.6947512929321561
34019,0.7673831467313315,141.198498998565,115.10747200969972,4.604298880387989,1.534766293462663
34021,1.0220533562954657,136.44412306544464,91.98480206659188,6.132320137772792,1.0220533562954657
34023,0.8015747508533908,210.81415947444177,92.0665856694466,9.389875652854007,0.5725533934667077
34025,0.7742383043561744,195.4177480194984,115.05181202732751,6.813297078334335,0.7742383043561744
34027,0.7738410762581688,172.56656000557166,95.95629345601294,5.997268341000809,0.7738410762581688
34029,0.7560087576054481,198.83030325023284,38.25404313483567,1.3608157636898066,0.6048070060843584
34031,0.3816713771275794,153.24105791672312,55.34234968349901,4.580056525530953,0.5725070656913691
34033,1.52699731248473,172.5506963107745,29.01294893720987,3.05399462496946,3.05399462496946
34035,0.5697323966932731,94.57557785108334,108.81888776841518,6.836788760319279,0.2848661983466365
34037,0.6833962057842655,94.9920726040129,45.78754578754579,0.6833962057842655,0.6833962057842655
34039,0.8530749085077161,130.1792310382775,63.12754322957099,5.289064432747839,0.5118449451046296
34041,1.7912960922875745,167.48618462888822,56.4258269070586,2.686944138431362,1.7912960922875745
36001,1.2594855001731793,384.45794892786296,96.6655121382915,13.224597751818385,0.6297427500865896
36003,4.283205551034394,147.7705915106866,40.69045273482675,0.0,2.141602775517197
36005,0.5070707392656746,210.6516728263688,65.70188007342385,6.229726225264003,0.4346320622277211
36007,1.5311278287586636,257.2294752314555,83.19127869588739,4.083007543356437,1.0207518858391091
36009,1.3215102218815664,266.9450648200764,46.25285776585482,1.3215102218815664,1.3215102218815664
36011,1.3411477542480856,113.99755911108726,25.481807330713625,0.0,1.3411477542480856
36013,2.398829371266822,257.4743525159722,55.97268532955917,0.799609790422274,0.0
36015,2.466395363176717,235.5407571833765,82.62424466642003,3.699593044765076,1.2331976815883583
36017,2.178459393516905,126.35064482398047,32.67689090275357,0.0,0.0
36019,1.2836146588794044,367.11379243950967,77.01687953276426,1.2836146588794044,0.0
36021,1.6499744253964064,316.79508967611,39.59938620951375,0.0,1.6499744253964064
36023,2.173724023997913,182.59281801582472,39.127032431962434,0.0,2.173724023997913
36025,6.736577369591091,125.749444232367,31.437361058091756,0.0,0.0
36027,0.6723796524469576,142.54448631875502,68.2465347233662,4.706657567128703,1.0085694786704364
36029,1.0555003177055955,235.90432100720065,77.47372331959072,9.28840279580924,0.4222001270822382
36031,2.725835468571117,68.14588671427792,40.88753202856676,0.0,0.0
36033,4.326756663205262,257.4420214607131,62.73797161647629,4.326756663205262,0.0
36035,1.905923610581688,108.63764580315622,32.400701379888694,1.905923610581688,0.0
36037,1.7236624379481524,217.1814671814672,29.30226144511859,1.7236624379481524,1.7236624379481524
36039,0.0,0.0,35.856657737655816,0.0,0.0
36041,0.0,0.0,19.73164956590371,0.0,0.0
36043,1.679232926399221,41.98082315998053,28.546959748786755,0.0,0.0
36045,3.531073446327684,189.795197740113,52.96610169491525,0.882768361581921,0.882768361581921
36047,0.4211504835764711,108.73339757792527,69.64297542050919,6.661834922027816,0.4594368911743321
36049,3.7639265281541694,94.09816320385426,63.98675097862089,0.0,0.0
36051,1.6344142259414225,109.50575313807532,42.49476987447699,0.0,1.6344142259414225
36053,2.974331518991107,187.38288569643973,74.35828797477767,0.0,0.0
36055,0.80111408265094,235.3940212856012,108.81799622675264,18.02506685964615,0.5340760551006266
36057,2.0189376350164543,201.89376350164545,52.492378510427805,0.0,0.0
36059,0.6479761544775152,168.61779486514897,140.2508387691333,15.119443604475356,0.7919708554725186
36061,0.980672177227076,475.19696187759496,137.4779808450207,37.57200279001234,0.6742121218436147
36063,0.954877274398308,199.0919117120472,40.10484552472894,3.819509097593232,0.954877274398308
