STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
09,001,Fairfield,Connecticut,957419,+41.206021,-073.367214
09,003,Hartford,Connecticut,899498,+41.761165,-072.717868
09,005,Litchfield,Connecticut,185186,+41.726958,-073.190432
09,007,Middlesex,Connecticut,164245,+41.479018,-072.571631
09,009,New Haven,Connecticut,864835,+41.396593,-072.942327
09,011,New London,Connecticut,268555,+41.443271,-072.097543
09,013,Tolland,Connecticut,149788,+41.842288,-072.372969
09,015,Windham,Connecticut,116418,+41.805080,-071.993508
