name,address,latitude,longitude
Samaritan Medical Center,"830 Washington St, Watertown, NY 13601",43.96473585,-75.91284628
Saratoga Hospital,"211 Church St, Saratoga Springs, NY 12866",43.08484473,-73.79621464
SBH Health System/St. Barnabas Hospital,"4422 3rd Ave, Bronx, NY 10457",40.85384297,-73.89106678
St. Catherine of Siena Medical Center,"50 Route 25A, Smithtown, NY 11787",40.86764204,-73.22021809
St. Charles Hospital,"200 Belle Terre Rd, Port Jefferson, NY 11777",40.94773289,-73.06034676
St John's Episcopal Hospital South Shore,"327 Beach 19th St, Far Rockaway, NY 11691",40.59803396,-73.7530278
St. Johns Riverside Hospital - Andrus Pavilion,"967 N Broadway, Yonkers, NY 10701",40.96748547,-73.88528762
St. Joseph Hospital,"4295 Hempstead Tpke, Bethpage, NY 11714",40.72586459,-73.47850626
St. Josephs Hospital Health Center,"301 Prospect Ave, Syracuse, NY 13203",43.05514853,-76.14891418
St. Joseph's Medical Center,"127 S Broadway, Yonkers, NY 10701",40.93006987,-73.89760618
St. Peter's Hospital,"315 S Manning Blvd, Albany, NY 12208",42.65382597,-73.80644701
Staten Island University Hospital - South,"375 Seguine Ave, Staten Island, NY 10309",40.51740197,-74.19687733
Stony Brook Eastern Long Island Hospital,"201 Manor Place, Greenport, NY 11944",41.11113114,-72.36087207
Stony Brook Southampton Hospital,"240 Meeting House Ln, Southampton, NY 11968",40.8857465,-72.3806666
Syosset Hospital,"221 Jericho Turnpike, Syosset, NY 11791",40.81020537,-73.50907967
Unity Hospital of Rochester,"1555 Long Pond Rd, Rochester, NY 14626",43.19183376,-77.70154225
United Memorial Medical Center North Street Campus,"127 North St, Batavia, NY 14020",43.00397861,-78.17707126
University Hospital of Brooklyn (SUNY Downstate),"445 Lenox Rd, Brooklyn, NY 11203",40.65461601,-73.94357464
Wyckoff Heights Medical Center,"374 Stockholm St, Brooklyn, NY 11237",40.70467625,-73.91757784
