fips,county,state,drive_time_min,drive_time_advanced,nearest_stroke_distance,nearest_stroke_distance_advanced
09001,Fairfield,Connecticut,34.063,19.296333333333333,14.240213722926462,7.162504854663964
09003,Hartford,Connecticut,14.668000000000001,6.081166666666666,4.320017377390271,1.3590239417492869
09005,Litchfield,Connecticut,9.9975,48.92516666666667,5.375039492335274,25.652852290155934
09007,Middlesex,Connecticut,19.046,41.052,6.514388147080656,19.78547594666758
09009,New Haven,Connecticut,18.025333333333332,19.217333333333332,5.965944406330592,6.357835100551615
09011,New London,Connecticut,20.3785,66.13016666666667,6.879363199145651,36.9941484260022
09013,Tolland,Connecticut,17.247333333333334,33.50566666666666,4.371734623207021,16.955481929979143
09015,Windham,Connecticut,29.529999999999998,67.2905,8.114528674420685,35.60592753742584
36001,Albany,New York,8.529333333333334,9.7235,1.8661614445632402,2.682030751215345
36003,Allegany,New York,18.045833333333334,108.15716666666667,8.146286411665328,58.838805398988264
36005,Bronx,New York,3.2203333333333335,7.875333333333333,0.5537162956450346,2.1500735848038253
36007,Broome,New York,5.4271666666666665,5.2325,1.9399365711405296,1.2479599485539499
36009,Cattaraugus,New York,42.899833333333326,76.18866666666666,13.124612636818235,44.35016175709512
36011,Cayuga,New York,1.4141666666666666,42.554833333333335,0.23862987470118865,22.456813634511647
36013,Chautauqua,New York,71.07466666666666,68.77,46.832061814482884,48.89576866163247
36015,Chemung,New York,5.490333333333334,62.11783333333334,1.6093527682680913,43.92463926958273
36017,Chenango,New York,55.906666666666666,55.94883333333333,32.69160827774322,32.2419449536288
36019,Clinton,New York,107.346,176.5615,70.94616404626298,140.52092757727021
36021,Columbia,New York,20.22533333333333,57.798,5.3419030871838284,26.551057946846633
36023,Cortland,New York,6.705166666666667,40.196000000000005,2.197408330616012,30.790032790590747
36025,Delaware,New York,84.5785,106.80816666666666,31.10038226813098,50.280975079255136
36027,Dutchess,New York,36.70066666666666,16.2845,15.03575116548208,4.980849252923893
36029,Erie,New York,25.709,12.160166666666667,7.411805870594682,3.127056927533083
36031,Essex,New York,79.29719789678242,139.67642553873796,59.47289842258682,104.75731915405348
36033,Franklin,New York,88.20833333333333,247.279,31.16691808817138,119.8772782107532
36035,Fulton,New York,42.825833333333335,67.2135,26.564831647877067,39.738093065164605
36037,Genesee,New York,1.6295,48.48266666666667,0.4650804799603497,29.059229809639387
36039,Greene,New York,36.864333333333335,58.82983333333333,10.942295575469227,26.58764233030137
36041,Hamilton,New York,56.99459603366348,73.87227019570206,42.74594702524761,55.40420264677655
36043,Herkimer,New York,44.434999999999995,28.329333333333334,25.179326755144043,12.362805093798185
36045,Jefferson,New York,5.48,81.90733333333333,3.908126466149227,68.58261009579998
36047,Kings,New York,2.7528333333333332,2.9488333333333334,0.6332483182651867,0.5859245789926916
36049,Lewis,New York,42.83683333333333,77.61166666666666,26.149719501598174,48.52705008438326
36051,Livingston,New York,35.5555,46.151833333333336,15.285346831160293,25.535479356134758
36053,Madison,New York,45.44983333333333,48.65683333333333,21.770650321820533,21.505770591052624
36055,Monroe,New York,6.7885,9.583333333333334,1.817972915174815,2.513777985104433
36057,Montgomery,New York,40.735,54.76316666666666,22.945210882700096,34.79608444851032
36059,Nassau,New York,10.227666666666666,11.0885,2.4365416057648686,2.7104992802414323
36061,New York,New York,10.068000000000001,2.5175,1.9215038619774227,0.348349594418716
36063,Niagara,New York,14.779333333333334,40.79183333333334,9.069117360497541,16.170831100867574
36065,Oneida,New York,16.995,16.35,7.241718031238336,6.782516803180125
36067,Onondaga,New York,7.442333333333334,8.887666666666666,1.2874210709227423,2.2125470514596475
36069,Ontario,New York,6.0815,42.095,2.2331424289239488,23.675042107211233
36071,Orange,New York,19.758,56.21583333333333,6.8018641715099255,24.663947169938485
36073,Orleans,New York,30.659,49.181333333333335,17.101837107247064,31.573243441748044
36075,Oswego,New York,51.333333333333336,51.70333333333333,24.679064433773878,25.633722020306063
36077,Otsego,New York,26.740666666666666,70.76350000000001,11.452362657447006,38.26185895298627
36079,Putnam,New York,7.9595,36.667,3.2631326298850825,14.21004002678279
36081,Queens,New York,6.769166666666666,5.695166666666666,1.0574493714077566,1.6554887014736648
36083,Rensselaer,New York,12.566,25.342,3.1129868791252466,7.970831582360643
36085,Richmond,New York,16.4975,11.242666666666667,5.588606523165859,2.69954250692095
36087,Rockland,New York,12.881,23.180166666666665,5.506082755748832,8.580234139714857
36089,St. Lawrence,New York,23.1705,150.913,8.352092119109725,107.07267228272488
36091,Saratoga,New York,11.689166666666667,44.46583333333333,5.3441320655192985,24.526135528850034
36093,Schenectady,New York,4.931333333333333,29.642999999999997,1.525175218233244,13.845787363751832
36095,Schoharie,New York,59.556333333333335,68.20216666666667,25.133597485300676,33.6712586139964
36097,Schuyler,New York,35.556000000000004,88.1505,17.8637313938755,50.3721703781197
36099,Seneca,New York,23.01066666666667,72.75399999999999,8.769372060441416,37.85403976450208
36101,Steuben,New York,47.50016666666667,103.84833333333333,20.055314026411438,61.313038923384646
36103,Suffolk,New York,21.35216666666667,18.563,6.847226484403863,6.041678475726325
36105,Sullivan,New York,13.279333333333334,86.14450000000001,2.141496359071587,39.48159866750333
36107,Tioga,New York,37.422000000000004,32.929833333333335,18.761546675241462,17.46942998345213
36109,Tompkins,New York,18.042666666666666,71.33283333333334,3.1039565996519944,35.71601916828096
36111,Ulster,New York,16.356166666666667,39.207499999999996,7.554223714538477,11.610356033446756
36113,Warren,New York,12.3795,68.40799999999999,6.764092542760004,51.20257590667617
36115,Washington,New York,27.381666666666668,82.27283333333334,9.429802851338955,46.72723397653232
36117,Wayne,New York,16.8125,47.04666666666667,5.972280179584228,23.185041713611927
36119,Westchester,New York,16.221833333333333,8.210166666666668,6.4404566805822645,2.042428200236582
36121,Wyoming,New York,43.07383333333333,53.836666666666666,19.485327861171456,31.85678961983632
36123,Yates,New York,31.5295,84.40066666666667,17.25881242747731,43.68087928340585
34001,Atlantic,New Jersey,12.665,18.909166666666668,3.7684369435140916,9.424268341458339
34003,Bergen,New Jersey,10.504666666666667,10.071666666666665,3.387136397707349,2.239705884968257
34005,Burlington,New Jersey,4.762666666666666,26.96516666666667,2.2299542797372065,14.363697898243437
34007,Camden,New Jersey,8.473,15.788,2.6036362631777736,5.713842414823175
34009,Cape May,New Jersey,3.296,39.833,0.8278975973424632,26.934711029476915
34011,Cumberland,New Jersey,5.799833333333334,36.080333333333336,1.8762585683260424,20.871901050488518
34013,Essex,New Jersey,3.2356666666666665,7.000166666666667,0.9558667572169353,2.2967636774385567
34015,Gloucester,New Jersey,16.997833333333332,9.939333333333334,6.615005525669769,3.6446734526409656
34017,Hudson,New Jersey,3.8945,16.795,0.8039822789032423,4.33535965543007
34019,Hunterdon,New Jersey,18.993666666666666,54.9675,3.3809598205466713,23.97492402278656
34021,Mercer,New Jersey,10.252166666666666,10.173333333333334,3.113779880231704,3.115845426871699
