town_name,town_fips_2020,county_fips,county_name,town_fips_2022,region_fips,region_name
Pomfret,0901561030,09015,Windham County,0915061030,09150,Northeastern Connecticut Planning Region
Portland,0900761800,09007,Middlesex County,0913061800,09130,Lower Connecticut River Valley Planning Region
Preston,0901162150,09011,New London County,0918062150,09180,Southeastern Connecticut Planning Region
Prospect,0900962290,09009,New Haven County,0914062290,09140,Naugatuck Valley Planning Region
Putnam,0901562710,09015,Windham County,0915062710,09150,Northeastern Connecticut Planning Region
Redding,0900163480,09001,Fairfield County,0919063480,09190,Western Connecticut Planning Region
Ridgefield,0900163970,09001,Fairfield County,0919063970,09190,Western Connecticut Planning Region
Rocky Hill,0900365370,09003,Hartford County,0911065370,09110,Capitol Planning Region
Roxbury,0900565930,09005,Litchfield County,0916065930,09160,Northwest Hills Planning Region
Salem,0901166210,09011,New London County,0918066210,09180,Southeastern Connecticut Planning Region
Salisbury,0900566420,09005,Litchfield County,0916066420,09160,Northwest Hills Planning Region
Scotland,0901567400,09015,Windham County,0915067400,09150,Northeastern Connecticut Planning Region
Seymour,0900967610,09009,New Haven County,0914067610,09140,Naugatuck Valley Planning Region
Sharon,0900567960,09005,Litchfield County,0916067960,09160,Northwest Hills Planning Region
Shelton,0900168170,09001,Fairfield County,0914068170,09140,Naugatuck Valley Planning Region
Sherman,0900168310,09001,Fairfield County,0919068310,09190,Western Connecticut Planning Region
Simsbury,0900368940,09003,Hartford County,0911068940,09110,Capitol Planning Region
Somers,0901369220,09013,Tolland County,0911069220,09110,Capitol Planning Region
South Windsor,0900371390,09003,Hartford County,0911071390,09110,Capitol Planning Region
Southbury,0900969640,09009,New Haven County,0914069640,09140,Naugatuck Valley Planning Region
Southington,0900370550,09003,Hartford County,0911070550,09110,Capitol Planning Region
Sprague,0901171670,09011,New London County,0918071670,09180,Southeastern Connecticut Planning Region
Stafford,0901372090,09013,Tolland County,0911072090,09110,Capitol Planning Region
Stamford,0900173070,09001,Fairfield County,0919073070,09190,Western Connecticut Planning Region
Sterling,0901573420,09015,Windham County,0915073420,09150,Northeastern Connecticut Planning Region
Stonington,0901173770,09011,New London County,0918073770,09180,Southeastern Connecticut Planning Region
Stratford,0900174190,09001,Fairfield County,0912074190,09120,Greater Bridgeport Planning Region
Suffield,0900374540,09003,Hartford County,0911074540,09110,Capitol Planning Region
Thomaston,0900575730,09005,Litchfield County,0914075730,09140,Naugatuck Valley Planning Region
Thompson,0901575870,09015,Windham County,0915075870,09150,Northeastern Connecticut Planning Region
Tolland,0901376290,09013,Tolland County,0911076290,09110,Capitol Planning Region
Torrington,0900576570,09005,Litchfield County,0916076570,09160,Northwest Hills Planning Region
Trumbull,0900177200,09001,Fairfield County,0912077200,09120,Greater Bridgeport Planning Region
