"Notes","State","State Code","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"New York","36","Bronx County, NY","36005",913,9797575,9.3,8.7,9.9
,"New York","36","Broome County, NY","36007",225,1358398,16.6,14.4,18.7
,"New York","36","Cattaraugus County, NY","36009",94,532760,17.6,14.3,21.6
,"New York","36","Cayuga County, NY","36011",100,529680,18.9,15.2,22.6
,"New York","36","Chautauqua County, NY","36013",187,882704,21.2,18.1,24.2
,"New York","36","Chemung County, NY","36015",109,577243,18.9,15.3,22.4
,"New York","36","Chenango County, NY","36017",50,326164,15.3,11.4,20.2
,"New York","36","Clinton County, NY","36019",80,555293,14.4,11.4,17.9
,"New York","36","Columbia County, NY","36021",50,422744,11.8,8.8,15.6
,"New York","36","Cortland County, NY","36023",45,326711,13.8,10.0,18.4
,"New York","36","Delaware County, NY","36025",57,310319,18.4,13.9,23.8
,"New York","36","Dutchess County, NY","36027",248,2072999,12.0,10.5,13.5
,"New York","36","Erie County, NY","36029",1085,6553406,16.6,15.6,17.5
,"New York","36","Essex County, NY","36031",53,258773,20.5,15.3,26.8
,"New York","36","Franklin County, NY","36033",42,337697,12.4,9.0,16.8
,"New York","36","Fulton County, NY","36035",64,369878,17.3,13.3,22.1
,"New York","36","Genesee County, NY","36037",75,402306,18.6,14.7,23.4
,"New York","36","Greene County, NY","36039",42,332381,12.6,9.1,17.1
,"New York","36","Hamilton County, NY","36041",Suppressed,33596,Suppressed,Suppressed,Suppressed
,"New York","36","Herkimer County, NY","36043",58,422925,13.7,10.4,17.7
,"New York","36","Jefferson County, NY","36045",108,790543,13.7,11.1,16.2
,"New York","36","Kings County, NY","36047",1369,18092091,7.6,7.2,8.0
,"New York","36","Lewis County, NY","36049",44,185320,23.7,17.3,31.9
,"New York","36","Livingston County, NY","36051",75,434352,17.3,13.6,21.6
,"New York","36","Madison County, NY","36053",79,480962,16.4,13.0,20.5
,"New York","36","Monroe County, NY","36055",940,5233023,18.0,16.8,19.1
,"New York","36","Montgomery County, NY","36057",68,346043,19.7,15.3,24.9
,"New York","36","Nassau County, NY","36059",856,9615387,8.9,8.3,9.5
,"New York","36","New York County, NY","36061",791,11300660,7.0,6.5,7.5
,"New York","36","Niagara County, NY","36063",283,1469670,19.3,17.0,21.5
,"New York","36","Oneida County, NY","36065",303,1600616,18.9,16.8,21.1
,"New York","36","Onondaga County, NY","36067",522,3260721,16.0,14.6,17.4
,"New York","36","Ontario County, NY","36069",140,780453,17.9,15.0,20.9
,"New York","36","Orange County, NY","36071",259,2781828,9.3,8.2,10.4
,"New York","36","Orleans County, NY","36073",46,279261,16.5,12.1,22.0
,"New York","36","Oswego County, NY","36075",145,823509,17.6,14.7,20.5
,"New York","36","Otsego County, NY","36077",52,417352,12.5,9.3,16.3
,"New York","36","Putnam County, NY","36079",75,688194,10.9,8.6,13.7
,"New York","36","Queens County, NY","36081",1224,15936794,7.7,7.3,8.1
,"New York","36","Rensselaer County, NY","36083",135,1116403,12.1,10.1,14.1
,"New York","36","Richmond County, NY","36085",256,3401175,7.5,6.6,8.4
,"New York","36","Rockland County, NY","36087",223,2344909,9.5,8.3,10.8
,"New York","36","St. Lawrence County, NY","36089",91,751894,12.1,9.7,14.9
,"New York","36","Saratoga County, NY","36091",196,1645551,11.9,10.2,13.6
,"New York","36","Schenectady County, NY","36093",166,1106352,15.0,12.7,17.3
,"New York","36","Schoharie County, NY","36095",33,213410,15.5,10.6,21.7
,"New York","36","Schuyler County, NY","36097",22,123434,17.8,11.2,27.0
,"New York","36","Seneca County, NY","36099",31,233876,13.3,9.0,18.8
,"New York","36","Steuben County, NY","36101",117,655556,17.8,14.6,21.1
,"New York","36","Suffolk County, NY","36103",1004,10542855,9.5,8.9,10.1
,"New York","36","Sullivan County, NY","36105",56,546566,10.2,7.7,13.3
,"New York","36","Tioga County, NY","36107",54,335708,16.1,12.1,21.0
,"New York","36","Tompkins County, NY","36109",78,725130,10.8,8.5,13.4
,"New York","36","Ulster County, NY","36111",167,1264468,13.2,11.2,15.2
,"New York","36","Warren County, NY","36113",96,453850,21.2,17.1,25.8
,"New York","36","Washington County, NY","36115",77,424690,18.1,14.3,22.7
,"New York","36","Wayne County, NY","36117",101,632955,16.0,12.8,19.1
,"New York","36","Westchester County, NY","36119",757,6886506,11.0,10.2,11.8
