"Notes","State","State Code","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"New York","36","Schenectady County, NY","36093",33,1106352,3.0,2.1,4.2
,"New York","36","Schoharie County, NY","36095",Suppressed,213410,Suppressed,Suppressed,Suppressed
,"New York","36","Schuyler County, NY","36097",Suppressed,123434,Suppressed,Suppressed,Suppressed
,"New York","36","Seneca County, NY","36099",Suppressed,233876,Suppressed,Suppressed,Suppressed
,"New York","36","Steuben County, NY","36101",14,655556,2.1,1.2,3.6
,"New York","36","Suffolk County, NY","36103",143,10542855,1.4,1.1,1.6
,"New York","36","Sullivan County, NY","36105",Suppressed,546566,Suppressed,Suppressed,Suppressed
,"New York","36","Tioga County, NY","36107",Suppressed,335708,Suppressed,Suppressed,Suppressed
,"New York","36","Tompkins County, NY","36109",15,725130,2.1,1.2,3.4
,"New York","36","Ulster County, NY","36111",17,1264468,1.3,0.8,2.2
,"New York","36","Warren County, NY","36113",11,453850,2.4,1.2,4.3
,"New York","36","Washington County, NY","36115",Suppressed,424690,Suppressed,Suppressed,Suppressed
,"New York","36","Wayne County, NY","36117",18,632955,2.8,1.7,4.5
,"New York","36","Westchester County, NY","36119",97,6886506,1.4,1.1,1.7
,"New York","36","Wyoming County, NY","36121",Suppressed,278686,Suppressed,Suppressed,Suppressed
,"New York","36","Yates County, NY","36123",Suppressed,172457,Suppressed,Suppressed,Suppressed
"Total","New York","36",,,2148,137284074,1.6,1.5,1.6
"Total",,,,,4613,215578231,2.1,2.1,2.2
"---"
"Dataset: Underlying Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"ICD-10 Codes: I69.4 (Sequelae of stroke, not specified as haemorrhage or infarction)"
"States: Connecticut (09); New Jersey (34); New York (36)"
"Group By: State; County"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Jun 22, 2026 3:32:40 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jun 22, 2026 3:32:40 PM"
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"2. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Confidence-Intervals."
"3. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 27, 2024. The 2024 series is based on the Modified Blended Base produced"
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend"
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data"
"from the internal Census Edited File (CEF). The population figures for year 2023 are single-race estimates of the July 1"
"resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is"
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The"
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic"
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2022 are"
"single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal series released by the Census Bureau"
"on June 22, 2023. The 2022 series is based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1,"
"2020 decennial population count. The Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates"
"for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The"
"population figures for years 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
