"StateAbbr","CountyName","CountyFIPS","BINGE_CrudePrev","CSMOKING_CrudePrev","LPA_CrudePrev","BPHIGH_CrudePrev","HIGHCHOL_CrudePrev","DIABETES_CrudePrev","OBESITY_CrudePrev","STROKE_CrudePrev"
"NY","Albany","36001","18.4","10.5","21.2","31.7","34.9","9.2","29.8","3.0"
"NY","Greene","36039","17.0","13.5","26.2","36.6","40.1","11.7","34.4","3.9"
"NY","Suffolk","36103","16.5","9.6","24.1","31.7","39.4","10.0","29.7","3.0"
"NY","Clinton","36019","16.5","14.4","26.7","34.1","35.7","10.7","33.2","3.5"
"NY","Cattaraugus","36009","16.7","16.5","28.4","38.1","40.0","12.1","35.7","4.1"
"NY","Erie","36029","17.4","12.4","24.8","33.0","37.0","10.8","32.8","3.4"
"NY","Orleans","36073","16.6","15.7","28.3","35.7","37.8","11.7","32.9","3.9"
"NY","Lewis","36049","17.2","15.1","27.8","36.3","39.5","11.8","40.9","3.9"
"NY","Niagara","36063","16.2","13.7","26.3","37.0","36.1","11.3","39.5","3.7"
"NY","Schenectady","36093","16.2","12.1","22.6","33.0","35.7","10.2","34.3","3.3"
"NY","Nassau","36059","15.1","8.5","23.2","31.8","39.3","10.1","28.4","2.9"
"NY","Yates","36123","17.1","14.8","26.6","35.8","38.7","11.6","33.9","4.0"
"NY","Steuben","36101","17.4","14.6","26.2","35.7","38.7","11.5","34.8","3.8"
"NY","Ulster","36111","15.1","11.8","24.1","37.0","37.4","10.9","30.5","3.5"
"NY","Genesee","36037","16.8","13.5","24.8","35.1","37.8","10.7","30.2","3.5"
"NY","Queens","36081","13.5","10.9","31.0","33.6","41.2","14.3","24.0","3.5"
