"StateAbbr","TractFIPS","TotalPop18plus","BINGE_CrudePrev","CSMOKING_CrudePrev","LPA_CrudePrev","BPHIGH_CrudePrev","HIGHCHOL_CrudePrev","DIABETES_CrudePrev","OBESITY_CrudePrev","STROKE_CrudePrev"
"CT","09190230502","3,944","17.3","9.1","21.2","29.6","38.8","8.2","24.7","3.0"
"CT","09190240100","3,403","15.3","6.3","18.4","30.8","41.3","8.0","21.9","3.0"
"CT","09190240200","3,515","16.6","6.2","16.4","29.2","41.1","7.6","22.3","2.6"
"CT","09190245100","2,138","17.6","6.0","15.4","26.5","39.0","6.7","21.7","2.3"
"CT","09190245200","3,356","16.1","6.8","18.3","29.3","40.2","7.8","22.1","2.8"
"CT","09190245300","4,179","15.9","7.1","19.2","29.2","40.5","7.9","22.2","2.8"
"CT","09190245400","2,470","17.6","5.5","14.8","26.2","38.7","6.6","21.5","2.2"
"CT","09190245500","2,185","17.2","5.0","14.5","27.1","39.5","6.7","21.2","2.3"
"CT","09190245600","4,331","16.9","6.7","17.0","27.9","39.5","7.5","22.9","2.5"
"CT","09190250100","1,455","14.6","7.2","18.6","32.5","42.3","9.0","24.6","3.2"
"CT","09190253100","2,799","15.9","13.8","27.6","30.8","38.0","10.1","30.0","3.5"
"CT","09190253200","5,746","17.1","8.1","18.8","26.8","36.9","7.8","25.6","2.5"
"CT","09190253400","5,059","16.2","9.3","20.7","29.3","38.9","8.8","26.5","2.9"
"CT","09190253500","4,793","15.5","12.0","24.4","32.4","40.0","10.3","29.5","3.5"
"CT","09190257100","2,925","16.1","7.1","18.0","30.9","42.1","8.2","22.7","2.9"
"CT","09190425700","3,983","17.0","10.8","23.1","28.0","36.6","8.6","28.0","2.8"
