fips,county,state,binge_drinking_prevalence,smoking_prevalence,physical_inactivity,hypertension_prevalence,high_cholesterol_prevalence,diabetes_prevalence,obesity_prevalence,stroke_prevalence
34019,Hunterdon,NJ,16.2,8.8,19.4,31.7,39.5,9.2,26.3,2.8
34021,Mercer,NJ,14.2,10.5,24.4,31.2,37.2,11.1,25.4,3.1
34023,Middlesex,NJ,14.6,10.0,25.3,33.2,38.8,11.6,29.9,2.8
34025,Monmouth,NJ,16.0,9.7,19.5,32.9,39.7,9.8,30.4,2.9
34027,Morris,NJ,17.6,8.4,19.2,31.0,40.0,9.0,22.8,2.6
34029,Ocean,NJ,14.5,13.3,25.8,35.0,42.8,11.4,29.8,3.6
34031,Passaic,NJ,15.7,12.3,31.2,32.4,37.4,12.7,31.0,3.4
34033,Salem,NJ,16.0,14.7,27.9,37.4,39.6,11.9,34.0,3.8
34035,Somerset,NJ,13.3,8.2,20.8,30.6,39.3,10.1,26.3,2.6
34037,Sussex,NJ,16.9,11.2,21.3,33.3,39.5,9.5,26.9,2.9
34039,Union,NJ,15.1,11.4,25.5,33.7,37.8,11.6,29.7,3.2
34041,Warren,NJ,16.2,11.6,25.0,34.5,39.8,10.0,32.5,3.2
09001,Fairfield,CT,16.016122825194774,9.2,24.0,29.1,37.9,9.1,25.8,3.0
09003,Hartford,CT,15.49770445386691,11.4,26.0,33.0,39.4,11.4,32.1,3.3
09005,Litchfield,CT,15.650577762560987,10.7,23.1,31.5,39.7,9.6,27.8,3.3
09007,Middlesex,CT,16.107348712706735,9.9,21.0,33.3,38.7,9.4,29.1,3.2
09009,New Haven,CT,14.51451966297826,11.3,27.2,33.3,38.5,10.6,33.8,3.3
09011,New London,CT,15.270420243221066,10.4,25.2,34.7,36.3,9.7,31.9,3.2
09013,Tolland,CT,15.588377136198861,9.7,19.8,29.3,36.5,8.2,30.4,2.8
09015,Windham,CT,16.177997212394125,13.5,28.3,34.7,37.1,10.7,34.0,3.4
